title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,_source_file
Afforestation in the City of Aarhus,"The City Council has passed an ambitious woodland plan designed to protect the municipality's groundwater. By planting woods in vulnerable areas where boreholes have been drilled for drinking water, the use of pesticides or other pollutants in the immediate area can be avoided. Aarhus residents will be ensured clean drinking water in 20 years even though the population is rising.",ongoing,Århus,Denmark,regional,"[""Parks and urban forests"", ""Large urban parks or forests""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Climate change mitigation"", ""Water management (SDG 6)"", ""Stormwater and rainfall management and storage"", ""Improvements to water quality"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Green space creation and/or management"", ""Environmental quality"", ""Air quality improvement""]",[],"[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased market share for green economies"", ""type"": ""economic""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/arhus/afforestation-city-aarhus,urban,046_Afforestation_in_the_City_of_Aarhus.html
Afforestation of the Mallasa Landfill,"This initiative was launched by the local government of La Paz, focusing on afforestation of the Mallasa landfill, which was closed in 2004. The project aimed to plant 6,000 native tree species to enhance biodiversity regeneration and establish a second urban forest in the city. The afforestation efforts took place between 2021 and 2022, coordinated through 'forestry brigades' made up of diverse volunteer groups.",completed,La Paz,Bolivia,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests""]","[""Climate change mitigation"", ""Air quality improvement"", ""Soil quality improvement"", ""Waste management"", ""Habitat and biodiversity restoration""]","[""Improved physical health""]","[{""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Expected improved physical health"", ""type"": ""social""}]",Local government/municipality,https://una.city/nbs/la-paz-fua/afforestation-mallasa-landfill,urban,047_Afforestation_of_the_Mallasa_Landfill.html
"Afforestation of the yard of hospital ""St. Panteleymon""","The municipal agency Gardens and Parks collaborated with the hospital ""St. Panteleymon"" in Plovdiv in order to restore the condition of their rehabilitation park in the yard. This involved planting 550 trees, cleaning and securing the area, and removing or modifying problematic trees. The park has thus become a more hospitable place for rehabilitation of patients.",ongoing,Plovdiv,Bulgaria,site,"[""Grey infrastructure featuring greens"", ""Institutional green space""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Health and well-being (SDG 3)""]","[""Improving physical health"", ""Creation of opportunities for recreation""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Restoration of derelict areas"", ""type"": ""environmental""}, {""description"": ""Increased perception of safety"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/plovdiv/afforestation-yard-hospital-st-panteleymon,urban,048_Afforestation_of_the_yard_of_hospital_St_Panteleymon.html
Aforestation at the Gullele Botanical Garden,"In 2019 at the Gullele Botanical Garden in Addis Ababa, the Ethiopian government launched a historic tree planting campaign. Over 350 million trees were planted in an ambitious move to counter the effects of deforestation and climate change. The Gullele Botanical Garden was selected as one of the 1000 sites all over the country involved in the Green Legacy Initiative, a national campaign against the effects of climate change.",ongoing,Addis Ababa,Ethiopia,regional,"[""Parks and urban forests"", ""Large urban parks or forests"", ""Botanical gardens""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Climate change mitigation"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Habitat and biodiversity conservation"", ""Green space creation and/or management"", ""Environmental quality"", ""Soil quality improvement"", ""Air quality improvement""]",[],"[{""description"": ""Enhanced carbon sequestration"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/addis-ababa/aforestation-gullele-botanical-garden,urban,049_Aforestation_at_the_Gullele_Botanical_Garden.html
Africatown Heritage House Bioswale,"The Africatown Heritage House Bioswale is a gently sloping green space with multiple functions which include catchment of runoff water and filtration of pollution in the runoff water, erosion control, and creation of habitat for biodiversity. It also has an educational purpose for students and the local community and contributes to overall beautification. The project aims to address heavy rainwater management and drainage issues.",completed,"Mobile, AL, Mobile (FUA)",United States,site,"[""Swales and filter strips""]","[""Flood protection"", ""Stormwater and rainfall management and storage"", ""Improvements to water quality""]","[""Environmental education""]","[{""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Expected improved social cohesion"", ""type"": ""social""}]","Led by non-government actors, collaboration between multiple organizations including Birmingham-Southern College’s Environmental Center and Mobile County Commission.",https://una.city/nbs/mobile-fua/africatown-heritage-house-bioswale,urban,050_Africatown_Heritage_House_Bioswale.html
Agoa Sanctuary,"The creation of the AGOA Sanctuary was first envisioned in 2006, officially established in 2010, and continues to evolve as a vital initiative for marine conservation. Located in the waters of the French Antilles, the sanctuary encompasses the entire Exclusive Economic Zone of Martinique, Guadeloupe, Saint-Martin, and Saint-Barthélemy. AGOA was established to ensure a favorable conservation status for marine mammals, aiming to protect both the species and their habitats through a combination of direct and indirect actions.",ongoing,Fort-de-France (FUA),Martinique,regional,"[""blue infrastructure"", ""other""]","[""Coastal resilience and marine protection (SDG 14)"", ""Marine and coastal biodiversity protection"", ""Marine and coastal research and/or education"", ""Environmental quality"", ""Noise reduction"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Habitat and biodiversity conservation"", ""Social justice, cohesion and equity (SDG 10)"", ""Environmental education""]",[],"[{""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Increased protection of threatened species"", ""type"": ""environmental""}, {""description"": ""Reduced human-wildlife conflicts"", ""type"": ""environmental""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/fort-de-france-fua/agoa-sanctuary,coastal,051_Agoa_Sanctuary.html
Agora Budapest: the new citycenter,"Agora Budapest is a large scale urban redevelopment project initiated by private investors. Besides implementing five high-quality office buildings, the investors aim at creating green public spaces the size of 7000 square metres in order to provide a healthy and vivid working environment. The green surface involves green roofs, parks and tree lines, all which will be irrigated using collected rainwater. The solar panels on the roofs of the buildings are also part of the sustainability plans of the investors.",ongoing,Budapest,Hungary,neighborhood,"[""green roofs"", ""parks and urban forests"", ""sustainable urban drainage systems""]","[""Green space, habitats and biodiversity"", ""Regeneration, land-use and urban development"", ""Health and well-being"", ""Economic development and employment""]",[],"[{""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increase of green jobs"", ""type"": ""economic""}, {""description"": ""Attraction of business and investment"", ""type"": ""economic""}]",Led by non-government actors,https://una.city/nbs/budapest/agora-budapest-new-citycenter,urban,052_Agora_Budapest_the_new_citycenter.html
Agrarian Park of Baix Llobregat,"The Parc Agrari del Baix Llobregat is located in the floodplains of the delta and lower valley of the river Llobregat, in the Catalan county of Baix Llobregat, in a central position within the metropolitan area of Barcelona. The territory of the park (nearly 3500 hectares), includes a rich traditional agricultural activity and comprises fourteen municipalities totaling about 818,000 residents. It acts as a green lung for the metropolitan area of Barcelona and promotes specific programs to preserve the productive values of the agricultural space.",ongoing,Barcelona,Spain,regional,"[""Community gardens and allotments"", ""Parks and urban forests""]","[""Green space, habitats and biodiversity"", ""Regeneration, land-use and urban development"", ""Cultural heritage and cultural diversity"", ""Health and well-being"", ""Inclusive and effective governance"", ""Social justice, cohesion and equity"", ""Economic development and employment"", ""Sustainable consumption and production""]","[""Improving mental health"", ""Enabling opportunities for physical activity"", ""Creation of opportunities for recreation""]","[{""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved physical health"", ""type"": ""social""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/barcelona/agrarian-park-baix-llobregat,agricultural,053_Agrarian_Park_of_Baix_Llobregat.html
Agriculture in Capodimonte forest,"The green area which surrounds the famous museum has been renewed in the last years. It is an interesting site of botanic interest, as there are more than 400 species of plants living there, and more than 150.000 trees. In particular, the company Slow Food Campania cultivated a small vegetable garden. Is a project of small-scale agriculture, in order to enhance a variety of cultivation and biodiversity conservation.",ongoing,Naples,Italy,neighborhood,"[""Parks and urban forests"", ""Community gardens""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Sustainable consumption and production (SDG 12)""]",[],"[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/napoli/agriculture-capodimonte-forest,urban,054_Agriculture_in_Capodimonte_forest.html
Agriparc of Mas Nouguier,"The agriparc of the Mas Nouguier is an agricultural reserve entirely maintained by the city of Montpellier. Conducted in organic agriculture, the estate contributes to the preservation of the identity of the territory and to the valorization of the living environment. Accessible to all, it offers a beautiful walk in the middle of the vineyards. Apiaries are used to develop educational workshops and to collect honey with school children.",completed,Montpellier,France,neighborhood,"[""Parks and urban forests"", ""Community gardens and allotments"", ""Horticulture"", ""Blue infrastructure""]","[""Climate change mitigation"", ""Stormwater and rainfall management and storage"", ""Habitat and biodiversity conservation"", ""Soil quality improvement"", ""Social justice and equity"", ""Environmental education"", ""Creation of opportunities for recreation"", ""Economic development: agriculture"", ""Employment/job creation"", ""Preservation of natural heritage"", ""Sustainable consumption"", ""Sustainable production""]","[""Improved physical health"", ""Gain in activities for recreation and exercise""]","[{""description"": ""Reduced emissions"", ""type"": ""environmental""}, {""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Increased number of protection areas"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased visibility and opportunity for marginalized groups or indigenous peoples"", ""type"": ""social""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/montpellier/agriparc-mas-nouguier,urban,055_Agriparc_of_Mas_Nouguier.html
Agro-didactical park Salvatore Buglione,"The didactic park Salvatore Buglione links its agricultural tradition and presence of plants and trees with social and cultural innovation (namely a playground for kids, a didactical botanical garden and an organized reading lab). A specialized lab aims at promoting civic and eco-functions, in line with the overall project of the city of Naples to allocate 2 million euros to regenerate the green areas of the city. The project “Orti Sociali” of the park represents an attempt to reach social inclusion and environmental awareness, underlying the crucial function of public parks in terms of environmental and social services (Ref.1.)",ongoing,Napoli,Italy,site,"[""Parks and urban forests"", ""Pocket parks/neighbourhood green spaces""]","[""Social justice, cohesion and equity (SDG 10)"", ""Environmental education"", ""Social justice and equity"", ""Social cohesion"", ""Social interaction"", ""Sustainable consumption and production (SDG 12)"", ""Sustainable production""]","[""Improved access to urban green space"", ""Increased knowledge of locals about local nature""]","[{""description"": ""Safety"", ""type"": ""social""}, {""description"": ""Decreased crime rates"", ""type"": ""social""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/napoli/agro-didactical-park-salvatore-buglione,urban,056_Agro-didactical_park_Salvatore_Buglione.html
Air Pollution Garden,"The Air Pollution Garden (APG) in the UK has been established at Sheffield Botanical Gardens through a collaboration between the three White Rose universities of Leeds, York and Sheffield. Typically an (APG) size is 6x8m and contains plants that are particularly sensitive to damage by pollutants like nitrogen dioxide (NO2) and ozone (O3) present in the air. The project owners hope to raise public awareness of air pollution effects in a tangible manner and change people’s behaviours.",completed,Sheffield,United Kingdom,neighborhood,"[""Parks and urban forests"", ""Botanical gardens"", ""Community gardens and allotments"", ""Community gardens""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Environmental quality"", ""Air quality improvement"", ""Health and well-being (SDG 3)""]","[""Improved air quality"", ""Creation of opportunities for recreation""]","[{""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/sheffield/air-pollution-garden,urban,057_Air_Pollution_Garden.html
Air quality project at Hunters Bar Infant School (BREATHE),"This project started as a grassroots movement by Hunter’s Bar Infant School (HBIS) in Sheffield when they were seeking to actively help to protect children from air pollution. HBIS led a fundraising campaign that, in collaboration with the University of Sheffield, provided the base to create a green barrier in their playground. The NBS is part of a bigger study called BREATHE that provides the science behind the project, which involves the design of the green barrier, the assessment of its impacts and a feasibility evaluation for installing green barriers in other schools in Sheffield and in Buenos Aires.",ongoing,Sheffield,United Kingdom,site,"[""green walls or facades""]","[""air quality improvement"", ""environmental quality"", ""health and well-being (SDG 3)""]","[""improved physical health"", ""improved mental health""]","[{""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]","Led by non-government actors, in partnership with the University of Sheffield.",https://una.city/nbs/sheffield/air-quality-project-hunters-bar-infant-school-breathe,urban,058_Air_quality_project_at_Hunters_Bar_Infant_School_BREATHE.html
Al-Muntazah 2 Neighborhood Tree Planting,"Alexandria is one of the vulnerable cities facing climate change, battling significant challenges such as rising sea levels, pollution, and the urban heat island effect. To address these issues, the president launched the '100 Million Trees Initiative' in 2022, aiming to double the per capita share of green spaces, improve air quality, and reduce greenhouse gases. In 2023, the gardens department planted 812 trees and shrubs in the Al-Muntazah 2 Neighborhood as part of this initiative.",completed,"Al-Muntazah 2 Neighborhood, Alexandria",Egypt,neighborhood,"[""Alley or street trees and other street vegetation"", ""Institutional green space""]","[""Climate change adaptation"", ""Air quality improvement"", ""Green space creation and/or management""]","[""Improved air quality"", ""Improving physical health""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Expected improved physical health"", ""type"": ""unknown""}]","Government-led, National government",https://una.city/nbs/alexandria-fua/al-muntazah-2-neighborhood-tree-planting,urban,059_Al-Muntazah_2_Neighborhood_Tree_Planting.html
Al-Nasr Youth Center Seed Planting,"In Egypt, knowledge about climate change remains limited, particularly among the younger generation. In response to these concerns, Egypt has taken steps to empower its youth to engage meaningfully in international efforts to combat climate change. The EGYouth4Climate Caravan initiative aims to raise awareness among children and young people about climate issues, encourage climate action, and provide a platform for youth to share their opinions and ideas. One of the caravan’s stops was at the Nasr Youth Center in Alexandria, where a seed-planting workshop was held as part of the caravan’s reforestation activities.",completed,Alexandria,Egypt,site,"[""Grey infrastructure featuring greens"", ""Institutional green space""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)""]",[],"[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/alexandria-fua/al-nasr-youth-center-seed-planting,urban,060_Al-Nasr_Youth_Center_Seed_Planting.html
Al-Samad Preparatory and Secondary Schools Tree Planting,"Alexandria is one of the world’s most climate-vulnerable cities, facing serious environmental challenges that threaten its landscape, culture, and livability. In recognition of these pressing issues, Egypt launched the '100 Million Trees Initiative' in 2022 as part of its Egypt Vision 2030, aiming to increase green space and improve air quality. In 2023, 596 trees were planted in the Al-Muntazah 2 neighborhood, including the Al-Samad Preparatory and Secondary Schools campus, as part of this initiative.",completed,Alexandria,Egypt,site,"[""Green playgrounds and school grounds""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Environmental quality"", ""Green space, habitats and biodiversity (SDG 15)"", ""Health and well-being (SDG 3)"", ""Social justice, cohesion and equity (SDG 10)""]","[""Improving physical health""]","[{""description"": ""Lowered local temperature"", ""type"": ""environmental""}, {""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Improved physical health"", ""type"": ""social""}]","Government-led, with involvement from national and local government",https://una.city/nbs/alexandria-fua/al-samad-preparatory-and-secondary-schools-tree-planting,urban,061_Al-Samad_Preparatory_and_Secondary_Schools_Tree_Planting.html
Alameda Main Road,"The rehabilitation of the main road Alameda Principal seeks to invert the previous distribution of use of space that saw 70% of it devoted to car usage and 30% to pedestrian use, after the intervention the situation should be 75% civilian and pedestrian space and 25% for cars. More public spaces, green areas, walks, bike lanes and leisure facilities will characterize this action, which also prioritizes highlighting the identity of this area of the city and value its architectural elements, patrimonial, wooded vault and cultural links.",ongoing,Malaga,Spain,neighborhood,"[""Grey infrastructure featuring greens"", ""Alley or street trees and other street vegetation"", ""Green areas for water management"", ""Sustainable urban drainage systems""]","[""Water management (SDG 6)"", ""Stormwater and rainfall management and storage"", ""Green space, habitats and biodiversity (SDG 15)"", ""Green space creation and/or management"", ""Regeneration, land-use and urban development"", ""Regulation of built environment"", ""Inclusive and effective governance (SDG 16)"", ""Inclusive governance"", ""Social justice, cohesion and equity (SDG 10)"", ""Social justice and equity"", ""Social interaction"", ""Health and well-being (SDG 3)"", ""Enabling opportunities for physical activity"", ""Creation of opportunities for recreation"", ""Cultural heritage and cultural diversity"", ""Preservation of natural heritage"", ""Protection of historic and cultural landscape/infrastructure"", ""Preservation of historic traditions""]","[""Improved access to urban green space"", ""Increased opportunities for social interaction"", ""Creation of opportunities for recreation""]","[{""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Increased sense of place identity, memory and belonging"", ""type"": ""social""}]",Local government/municipality,https://una.city/nbs/malaga/alameda-main-road,urban,062_Alameda_Main_Road.html
Alder Hey in the Park,"This is one of the most innovative and environmentally sustainable hospitals in the world, wherein more than 50% of its energy is generated on-site. It is covered with green roofs and has play decks for children. Farm Urban designed and installed three state-of-the-art aquaponic systems on the play decks. The systems enrich both the environment and diet of the children, as the food grown here is used in the ward meals.",completed,Liverpool,United Kingdom,site,"[""green roofs"", ""pocket parks/neighbourhood green spaces"", ""community gardens""]","[""Green space, habitats and biodiversity"", ""Health and well-being"", ""Sustainable consumption and production""]","[""Improving mental health"", ""Improving physical health"", ""Creation of opportunities for recreation""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}, {""description"": ""Improved physical health"", ""type"": ""social""}, {""description"": ""Improved mental health"", ""type"": ""social""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""social""}]",Led by non-government actors,https://una.city/nbs/liverpool/alder-hey-park,urban,063_Alder_Hey_in_the_Park.html
Alexandria Water Company Green Roof Campaign,"The Alexandria Governorate is especially susceptible to the impacts of climate change, a vulnerability exacerbated by its dense coastal communities and rapidly growing population. In response, Ahmed Gaber, chairman of the Alexandria Water Company, initiated a public awareness campaign in 2023 focused on the numerous benefits of planting green roofs. This initiative marks a pioneering step among governmental organizations in the region, as they lead efforts to address climate and environmental challenges actively.",ongoing,Alexandria,Egypt,site,"[""green roofs""]","[""climate change adaptation"", ""air quality improvement"", ""urban flooding"", ""heat stress & extreme temperatures""]","[""improved air quality""]","[{""description"": ""Expected energy efficiency improvements"", ""type"": ""environmental""}, {""description"": ""Expected improved air quality"", ""type"": ""environmental""}, {""description"": ""Expected increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Expected improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Expected increased green space area"", ""type"": ""environmental""}, {""description"": ""Achieved increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Expected increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/alexandria-fua/alexandria-water-company-green-roof-campaign,urban,064_Alexandria_Water_Company_Green_Roof_Campaign.html
Alicante coastal corridor,"The initiative is comprised of a project to recover the coastal line of Alicante, from El Campello to Elx (approx. 21 km long). The Municipality called an ideas' competition with the aim of developing a sustainable coastal corridor project that includes an intervention on the entire Alicante coastline and generates a continuous itinerary integrated into the landscape with new places of opportunity for the residents of the city. The winning project of the competition bears the slogan 'My connected archipelago' and is the work of the Grupo Aranea and Subarquitectura studios from Alicante.",in-progress,Alicante,Spain,regional,"[""Parks and urban forests"", ""Green corridors and green belts"", ""Blue infrastructure"", ""Coastlines""]","[""Water management (SDG 6)"", ""Flood protection"", ""Coastal resilience and marine protection (SDG 14)"", ""Coastal protection / hazard mitigation"", ""Green space, habitats and biodiversity (SDG 15)"", ""Regeneration, land-use and urban development"", ""Health and well-being (SDG 3)"", ""Economic development and employment (SDG 8)"", ""Cultural heritage and cultural diversity""]","[""Improved physical health"", ""Improved mental health"", ""Gain in activities for recreation and exercise""]","[{""description"": ""Reduced emissions"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Enhanced protection and restoration of coastal and marine ecosystems"", ""type"": ""environmental""}, {""description"": ""More sustainable tourism"", ""type"": ""economic""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}]",Government-led,https://una.city/nbs/alicantealacant/alicante-coastal-corridor,coastal,065_Alicante_coastal_corridor.html
All Shaheed Park,"Al Shaheed Park is the largest park in the country. The park was designed to include besides its green spaces, several buildings (museums, parking) populated with green roofs and an artificial lake. The park is viewed as an encompassing part of a green belt that surrounds the city of Kuwait, built to protect the city from sandstorms and to reduce air pollution.",ongoing,Kuwait City,Kuwait,neighborhood,"[""Blue infrastructure"", ""Lakes/ponds"", ""Nature on buildings (external)"", ""Green roofs"", ""Green walls or facades"", ""Parks and urban forests"", ""Large urban parks or forests""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Climate change adaptation"", ""Environmental quality"", ""Air quality improvement"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity conservation"", ""Green space creation and/or management"", ""Cultural heritage and cultural diversity"", ""Preservation of natural heritage"", ""Social justice, cohesion and equity (SDG 10)"", ""Environmental education""]",[],"[{""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Reduced risk of damages by drought"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Reduced biodiversity loss"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Attraction of business and investment"", ""type"": ""economic""}, {""description"": ""Protection of natural heritage"", ""type"": ""social""}, {""description"": ""Increased sense of place identity, memory and belonging"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/kuwait-city/all-shaheed-park,urban,066_All_Shaheed_Park.html
Allotment Gardens in Hannover,"Allotment gardens have a long tradition in Hannover, with approximately 20.000 gardens stretching around the city as a green belt. In the last decades, some gardens were threatened by disappearance due to investment interests. With the goal to protect these gardens, the city employed a so-called 'Kleingartenkonzept' (allotment concept) in 2016 with the help of the association of allotment gardens. The concept aims to keep the number of existing gardens for social and ecological considerations while allowing for new residential investments which is vital for the growing city.",ongoing,Hannover,Germany,regional,"[""Community gardens and allotments"", ""Allotments""]","[""Green space, habitats and biodiversity"", ""Environmental quality"", ""Regeneration, land-use and urban development"", ""Social justice, cohesion and equity"", ""Health and well-being"", ""Sustainable consumption and production""]","[""Creation of opportunities for recreation""]","[{""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Increased access to urban green space"", ""type"": ""social""}, {""description"": ""Increased access to healthy/affordable food"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/hannover/allotment-gardens-hannover,urban,067_Allotment_Gardens_in_Hannover.html
Alna Environmental Park,Oslo municipality is underway with the large-scale project of opening up rivers that previously were running in underground pipes. Alna Environmental Park is a part of this project and includes major transformation and environmental upgrade of the river Alna. The Environmental Park runs along the river and has transformed grey structures to accessible parks and recreation areas and now acts as an important resource for Oslo's citizens.,ongoing,Oslo,Norway,regional,"[""Grey infrastructure featuring greens"", ""Blue infrastructure"", ""Riverbank/Lakeside greens"", ""Parks and urban forests"", ""Large urban parks or forests"", ""Pocket parks/neighbourhood green spaces"", ""Green corridors and green belts"", ""Rivers/streams/canals/estuaries""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Water management (SDG 6)"", ""Flood protection"", ""Stormwater and rainfall management and storage"", ""Improvements to water quality"", ""Green space, habitats and biodiversity (SDG 15)"", ""Habitat and biodiversity restoration"", ""Green space creation and/or management"", ""Regeneration, land-use and urban development"", ""Health and well-being (SDG 3)"", ""Cultural heritage and cultural diversity""]","[""Creation of opportunities for recreation""]","[{""description"": ""Strengthened capacity to address climate hazards/natural disasters"", ""type"": ""environmental""}, {""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Enhanced protection and restoration of freshwater ecosystems"", ""type"": ""environmental""}, {""description"": ""Promotion of naturalistic styles of landscape design for urban development"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""social""}, {""description"": ""Protection of historic and cultural landscape / infrastructure"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/oslo/alna-environmental-park,urban,068_Alna_Environmental_Park.html
